ticker,name,exchange,is_etf,security_type,source
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,False,warrant,nasdaqtrader
ACP,abrdn Income Credit Strategies Fund Common Shares,N,False,common,nasdaqtrader
ACP-PA,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,N,False,preferred,nasdaqtrader
ACR,ACRES Commercial Realty Corp. Common Stock,N,False,common,nasdaqtrader
ACR-PC,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,N,False,preferred,nasdaqtrader
ACR-PD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,N,False,preferred,nasdaqtrader
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,False,common,nasdaqtrader
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,False,common,nasdaqtrader
ACU,Acme United Corporation. Common Stock,A,False,common,nasdaqtrader
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,False,common,nasdaqtrader
ACVA,ACV Auctions Inc. Class A Common Stock,N,False,common,nasdaqtrader
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AD,"Array Digital Infrastructure, Inc. Common Shares",N,False,common,nasdaqtrader
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ADACU,American Drive Acquisition Company - Units,NASDAQ,False,unit,nasdaqtrader
ADACW,American Drive Acquisition Company - Warrant,NASDAQ,False,warrant,nasdaqtrader
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,False,common,nasdaqtrader
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,False,note,nasdaqtrader
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,False,note,nasdaqtrader
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,False,note,nasdaqtrader
ADAMK,"Adamas Trust, Inc. - 9.600% Senior Notes Due 2031",NASDAQ,False,note,nasdaqtrader
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,False,preferred,nasdaqtrader
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,False,note,nasdaqtrader
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,False,preferred,nasdaqtrader
ADBE,Adobe Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
ADC,Agree Realty Corporation Common Stock,N,False,common,nasdaqtrader
ADC-PA,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",N,False,preferred,nasdaqtrader
ADCT,ADC Therapeutics SA Common Shares,N,False,common,nasdaqtrader
ADEA,Adeia Inc.  - Common Stock,NASDAQ,False,common,nasdaqtrader
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,False,common,nasdaqtrader
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ADIG,ADI Global Distribution Inc. Common Stock,N,False,common,nasdaqtrader
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,False,common,nasdaqtrader
ADM,Archer-Daniels-Midland Company Common Stock,N,False,common,nasdaqtrader
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,False,common,nasdaqtrader
ADNT,Adient plc Ordinary Shares,N,False,common,nasdaqtrader
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,False,common,nasdaqtrader
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,False,common,nasdaqtrader
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ADT,ADT Inc. Common Stock,N,False,common,nasdaqtrader
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,False,common,nasdaqtrader
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
ADX,Adams Diversified Equity Fund Inc.,N,False,common,nasdaqtrader
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,False,common,nasdaqtrader
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,False,common,nasdaqtrader
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ,False,unit,nasdaqtrader
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ,False,warrant,nasdaqtrader
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,False,common,nasdaqtrader
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,False,common,nasdaqtrader
AEE,Ameren Corporation Common Stock,N,False,common,nasdaqtrader
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A,False,common,nasdaqtrader
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,False,note,nasdaqtrader
AEG,Aegon Ltd. New York Registry Shares,N,False,common,nasdaqtrader
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AEHR,Aehr Test Systems - Common Stock,NASDAQ,False,common,nasdaqtrader
AEI,Alset Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AEM,Agnico Eagle Mines Limited Common Stock,N,False,common,nasdaqtrader
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,False,common,nasdaqtrader
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,False,warrant,nasdaqtrader
AEO,"American Eagle Outfitters, Inc. Common Stock",N,False,common,nasdaqtrader
AEON,"AEON Biopharma, Inc. Class A Common Stock",A,False,common,nasdaqtrader
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AER,AerCap Holdings N.V. Ordinary Shares,N,False,common,nasdaqtrader
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N,False,common,nasdaqtrader
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,False,common,nasdaqtrader
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,False,warrant,nasdaqtrader
AES,The AES Corporation Common Stock,N,False,common,nasdaqtrader
AESI,Atlas Energy Solutions Inc. Common Stock,N,False,common,nasdaqtrader
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AESPR,Aeon Acquisition I Corp. - Rights,NASDAQ,False,right,nasdaqtrader
AESPU,Aeon Acquisition I Corp. - Units,NASDAQ,False,unit,nasdaqtrader
AESPW,Aeon Acquisition I Corp. - Warrants,NASDAQ,False,warrant,nasdaqtrader
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,False,common,nasdaqtrader
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AFB,AllianceBernstein National Municipal Income Fund Inc,N,False,common,nasdaqtrader
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
AFG,"American Financial Group, Inc. Common Stock",N,False,common,nasdaqtrader
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,False,note,nasdaqtrader
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,False,note,nasdaqtrader
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,False,note,nasdaqtrader
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,False,note,nasdaqtrader
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,False,common,nasdaqtrader
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ,False,right,nasdaqtrader
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ,False,unit,nasdaqtrader
AFL,AFLAC Incorporated Common Stock,N,False,common,nasdaqtrader
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AFRIW,Forafric Global PLC - Warrants,NASDAQ,False,warrant,nasdaqtrader
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,False,common,nasdaqtrader
AFYA,Afya Limited - Class A Common Shares,NASDAQ,False,common,nasdaqtrader
AG,First Majestic Silver Corp. Ordinary Shares (Canada),N,False,common,nasdaqtrader
AGBK,AGI Inc Class A Common Shares,N,False,common,nasdaqtrader
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,False,common,nasdaqtrader
AGCO,AGCO Corporation Common Stock,N,False,common,nasdaqtrader
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,False,common,nasdaqtrader
AGEN,Agenus Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
AGI,Alamos Gold Inc. Class A Common Shares,N,False,common,nasdaqtrader
AGIG,Abundia Global Impact Group Inc. Common stock,A,False,common,nasdaqtrader
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AGL,"agilon health, inc. Common Stock",N,False,common,nasdaqtrader
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,False,common,nasdaqtrader
AGM-A,Federal Agricultural Mortgage Corporation Common Stock,N,False,common,nasdaqtrader
AGM-PD,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,False,preferred,nasdaqtrader
AGM-PE,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,False,preferred,nasdaqtrader
AGM-PF,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",N,False,preferred,nasdaqtrader
AGM-PG,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",N,False,preferred,nasdaqtrader
AGM-PH,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",N,False,preferred,nasdaqtrader
AGM-PI,"Federal Agricultural Mortgage Corporation 6.875% Non-Cumulative Preferred Stock, Series I",N,False,preferred,nasdaqtrader
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,False,common,nasdaqtrader
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,False,common,nasdaqtrader
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,False,preferred,nasdaqtrader
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,preferred,nasdaqtrader
AGNT,"AGNT, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AGO,Assured Guaranty Ltd. Common Stock,N,False,common,nasdaqtrader
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,False,common,nasdaqtrader
AGRO,Adecoagro S.A. Common Shares,N,False,common,nasdaqtrader
AGRZ,Agroz Inc. - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AGX,"Argan, Inc. Common Stock",N,False,common,nasdaqtrader
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,False,common,nasdaqtrader
AHG,Akso Health Group - American Depositary Shares,NASDAQ,False,common,nasdaqtrader
AHL-PD,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,N,False,preferred,nasdaqtrader
AHL-PE,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",N,False,preferred,nasdaqtrader
AHL-PF,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",N,False,preferred,nasdaqtrader
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AHR,"American Healthcare REIT, Inc. Common Stock",N,False,common,nasdaqtrader
AHRT,"AH Realty Trust, Inc. Common Stock",N,False,common,nasdaqtrader
AHRT-PA,"AH Realty Trust, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",N,False,preferred,nasdaqtrader
AHT,Ashford Hospitality Trust Inc Common Stock,N,False,common,nasdaqtrader
AHT-PD,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,N,False,preferred,nasdaqtrader
AHT-PF,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,N,False,preferred,nasdaqtrader
AHT-PG,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,N,False,preferred,nasdaqtrader
AHT-PH,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,N,False,preferred,nasdaqtrader
AHT-PI,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,N,False,preferred,nasdaqtrader
AI,"C3.ai, Inc. Class A Common Stock",N,False,common,nasdaqtrader
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,False,common,nasdaqtrader
AIB,AIB Data Centers Inc. Common Stock,A,False,common,nasdaqtrader
AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ,False,common,nasdaqtrader
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIFC,AI Financial Corporation - Common Stock,NASDAQ,False,common,nasdaqtrader
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,False,common,nasdaqtrader
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,False,common,nasdaqtrader
AIG,"American International Group, Inc. New Common Stock",N,False,common,nasdaqtrader
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,False,common,nasdaqtrader
AII,"American Integrity Insurance Group, Inc. Common Stock",N,False,common,nasdaqtrader
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,N,False,common,nasdaqtrader
AIIA-R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",N,False,right,nasdaqtrader
AIIA-U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",N,False,unit,nasdaqtrader
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,False,common,nasdaqtrader
AIIOW,Robo.ai Inc. - Warrant,NASDAQ,False,warrant,nasdaqtrader
AIIR,Air Global PLC - Ordinary shares,NASDAQ,False,common,nasdaqtrader
AIM,AIM ImmunoTech Inc. Common Stock,A,False,common,nasdaqtrader
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIMDW,"Ainos, Inc. - warrants",NASDAQ,False,warrant,nasdaqtrader
AIN,Albany International Corporation Common Stock,N,False,common,nasdaqtrader
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,N,False,common,nasdaqtrader
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,False,common,nasdaqtrader
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,False,common,nasdaqtrader
AIR,AAR Corp. Common Stock,N,False,common,nasdaqtrader
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,False,common,nasdaqtrader
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIRI,Air Industries Group Common Stock,A,False,common,nasdaqtrader
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,False,common,nasdaqtrader
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ,False,warrant,nasdaqtrader
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIRT,"Air T, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ,False,preferred,nasdaqtrader
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,False,common,nasdaqtrader
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,False,warrant,nasdaqtrader
AIT,"Applied Industrial Technologies, Inc. Common Stock",N,False,common,nasdaqtrader
AIV,Apartment Investment and Management Company Common Stock,N,False,common,nasdaqtrader
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,False,common,nasdaqtrader
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,False,common,nasdaqtrader
AIZ,"Assurant, Inc. Common Stock",N,False,common,nasdaqtrader
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",N,False,note,nasdaqtrader
